age,age_label,year,obs_x100k,pred_x100k,phase,err_abs,error_pct,clasif_30pct
7,30–34,2007,1.388464635805726,1.6593128298107742,train,0.2708481940050482,19.507028628631584,en rango
7,30–34,2008,1.8232003547426974,1.6969429583512943,train,0.1262573963914031,6.925042333552059,en rango
7,30–34,2009,1.4034026773733532,1.4061037151989606,train,0.0027010378256073775,0.19246349384644995,en rango
7,30–34,2010,1.3082763116949625,1.19803618046825,train,0.1102401312267125,8.42636454098055,en rango
7,30–34,2011,1.2167300380228137,1.1319704690443144,train,0.08475956897849923,6.966177075420406,en rango
7,30–34,2012,1.518582085019158,1.2642176377401202,train,0.25436444727903784,16.75012828008101,en rango
7,30–34,2013,1.0827220099534345,1.2533112249321496,train,0.17058921497871515,15.755587621798862,en rango
7,30–34,2014,1.1263785140121487,1.1594328843889496,train,0.03305437037680092,2.9345703922442197,en rango
7,30–34,2015,1.086603748496984,1.0369917180099093,train,0.04961203048707463,4.5657886378267305,en rango
7,30–34,2016,1.2742850411395847,1.1935611356132323,train,0.08072390552635245,6.334838981878151,en rango
7,30–34,2017,1.259722961726257,1.1147956883126549,train,0.14492727341360223,11.504694112664392,en rango
7,30–34,2018,1.4692380445075417,1.2945569909672157,train,0.17468105354032604,11.889227494029091,en rango
7,30–34,2019,1.591692815573346,1.2469330595571004,test,0.34475975601624564,21.65994296406114,en rango
7,30–34,2020,1.0744159273565903,1.201061108831328,test,0.1266451814747378,11.787351457672989,en rango
7,30–34,2021,1.978967739180385,1.1568766872373422,test,0.8220910519430429,41.54140745535965,subestimada
7,30–34,2022,1.848749966443922,1.1143177142547842,test,0.7344322521891378,39.72588319240493,subestimada
7,30–34,2023,2.0955744672248455,1.0733243931704057,test,1.0222500740544398,48.7813766603197,subestimada
8,35–39,1979,8.023557714067834,7.8639962420657685,train,0.15956147200206594,1.9886623576260218,en rango
8,35–39,1980,7.222197191161621,8.207247389821124,train,0.9850501986595024,13.639203868110759,en rango
8,35–39,1981,7.931035806068266,8.439807024769244,train,0.5087712187009785,6.414940382840069,en rango
8,35–39,1982,7.592681642562474,7.835727871498459,train,0.2430462289359845,3.2010591300645945,en rango
8,35–39,1983,6.077241742547782,7.297414890684265,train,1.2201731481364826,20.077745790394466,en rango
8,35–39,1984,5.291702208307857,6.133593445119581,train,0.8418912368117235,15.909648798641252,en rango
