dataset,year,age,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1992,7,2.796160617276061,3.501810073852539,0.7056494565764782,0.25236370622501975
train,1992,8,3.861137692996556,4.515854358673096,0.6547166656765397,0.16956573884011295
train,1992,9,4.262836804577529,5.346063137054443,1.0832263324769142,0.25410926623169516
train,1992,10,4.76758685569589,6.744947910308838,1.977361054612948,0.4147509242018649
train,1992,11,6.242992451884666,9.854374885559082,3.6113824336744162,0.5784697741519158
train,1992,12,10.032905904517138,12.397058486938477,2.3641525824213385,0.2356398639557344
train,1992,13,12.462886257835127,16.49065399169922,4.027767733864092,0.32318097513981603
train,1992,14,16.932934397658784,22.21531105041504,5.2823766527562555,0.3119587266272234
train,1992,15,29.66192150826375,28.736249923706055,0.9256715845576942,0.03120740456075217
train,1992,16,33.760022506681665,31.74470329284668,2.015319213834985,0.059695434546468695
train,1992,17,33.77893915010913,27.386869430541992,6.392069719567139,0.1892323998442177
train,1993,1,0.8304510749240078,1.2144756317138672,0.38402455678985936,0.4624288755656532
train,1993,2,0.3566135770939969,0.41821762919425964,0.06160405210026276,0.17274735471962221
train,1993,3,0.2138115870913393,0.2905727028846741,0.07676111579333478,0.3590128899804845
train,1993,4,0.6572037295714196,0.7642316818237305,0.10702795225231088,0.1628535375505916
train,1993,5,1.3089470269138221,1.4112948179244995,0.10234779101067737,0.0781909343206274
train,1993,6,1.5587978550941506,1.9298152923583984,0.37101743726424785,0.2380151063536077
train,1993,7,2.8294436146708053,3.1753103733062744,0.3458667586354691,0.12223843473749064
train,1993,8,3.8978228117537985,4.160124778747559,0.26230196699376007,0.0672944819868997
train,1993,9,4.8419720883738,4.879968166351318,0.03799607797751836,0.007847231930300467
train,1993,10,5.821117072366185,6.168975353240967,0.34785828087478166,0.05975799430766703
train,1993,11,9.4667679719653,8.784880638122559,0.6818873338427416,0.07202958135891756
train,1993,12,10.550003533255907,11.441680908203125,0.8916773749472178,0.08451915415349123
train,1993,13,14.309017542855496,15.356005668640137,1.0469881257846403,0.07316981215858032
train,1993,14,21.203205064185806,20.89914894104004,0.3040561231457666,0.014340101990492534
train,1993,15,22.39554845406113,27.088411331176758,4.692862877115626,0.2095444497258753
