age_group,target_year,lag,feature_period,cohort_year,abs_shap
14,1999,10,1989,1922,0.13340198283490262
14,1999,9,1990,1923,0.14376131806269088
14,1999,8,1991,1924,0.12917839876044215
14,1999,7,1992,1925,0.12648366007919895
14,1999,6,1993,1926,0.1406957406838247
14,1999,5,1994,1927,0.09201113841275403
14,1999,4,1995,1928,0.07959079572316713
14,1999,3,1996,1929,0.051890054828258245
14,1999,2,1997,1930,0.032662445976683455
14,1999,1,1998,1931,0.011844016967633268
11,1989,10,1979,1927,0.11249351310051428
11,1989,9,1980,1928,0.12367011382425627
11,1989,8,1981,1929,0.11133745492109284
11,1989,7,1982,1930,0.1301719363930354
11,1989,6,1983,1931,0.1150283634547801
11,1989,5,1984,1932,0.09212576399612728
11,1989,4,1985,1933,0.06670003158780582
11,1989,3,1986,1934,0.04100846490523376
11,1989,2,1987,1935,0.030329296015931054
11,1989,1,1988,1936,0.008299534956736144
8,2004,10,1994,1957,0.020721999358174863
8,2004,9,1995,1958,0.005241602159105236
8,2004,8,1996,1959,0.05997757795627882
8,2004,7,1997,1960,0.05093937138617697
8,2004,6,1998,1961,0.03615457854646129
8,2004,5,1999,1962,0.04845429031630347
8,2004,4,2000,1963,0.04084719638221545
8,2004,3,2001,1964,0.025484687259235896
8,2004,2,2002,1965,0.014005381369161319
8,2004,1,2003,1966,0.006384498954558419
6,2016,10,2006,1979,0.13374581541697592
6,2016,9,2007,1980,0.12466178535580635
6,2016,8,2008,1981,0.12234802869481928
6,2016,7,2009,1982,0.1188858709154016
6,2016,6,2010,1983,0.10640060140951604
6,2016,5,2011,1984,0.11008761941289007
6,2016,4,2012,1985,0.08936176156543102
6,2016,3,2013,1986,0.03953533660746841
6,2016,2,2014,1987,0.02922685233886825
6,2016,1,2015,1988,0.008575285264945026
16,2004,10,1994,1917,0.1531290132579584
16,2004,9,1995,1918,0.17148857353455502
16,2004,8,1996,1919,0.17101670980879996
16,2004,7,1997,1920,0.16841873246686728
16,2004,6,1998,1921,0.17641942727318513
16,2004,5,1999,1922,0.1421925272136251
16,2004,4,2000,1923,0.10789252034863375
16,2004,3,2001,1924,0.06519954944651442
16,2004,2,2002,1925,0.0439808570003536
16,2004,1,2003,1926,0.016513695258939146
17,2016,10,2006,1924,0.14999320148194403
17,2016,9,2007,1925,0.1646831042142917
17,2016,8,2008,1926,0.15242328487154425
17,2016,7,2009,1927,0.1574301395998927
17,2016,6,2010,1928,0.13624049155391202
17,2016,5,2011,1929,0.11600511764957104
17,2016,4,2012,1930,0.09311250812838993
17,2016,3,2013,1931,0.06191831428470786
17,2016,2,2014,1932,0.04030376051369657
17,2016,1,2015,1933,0.01434219810487851
2,2012,10,2002,1995,0.2918351675361133
2,2012,9,2003,1996,0.3337389464946395
2,2012,8,2004,1997,0.44349863492585123
2,2012,7,2005,1998,0.21306073926656807
2,2012,6,2006,1999,0.25392906404897136
2,2012,5,2007,2000,0.1980045346117962
2,2012,4,2008,2001,0.15347328288235978
2,2012,3,2009,2002,0.08344243808175698
2,2012,2,2010,2003,0.05006744640324986
2,2012,1,2011,2004,0.01880165576426281
14,2016,10,2006,1939,0.07920993335547641
14,2016,9,2007,1940,0.09743273558734432
14,2016,8,2008,1941,0.07670437643466706
14,2016,7,2009,1942,0.0737349434317097
14,2016,6,2010,1943,0.05662009418901753
14,2016,5,2011,1944,0.04039622452558344
14,2016,4,2012,1945,0.039062737774617544
14,2016,3,2013,1946,0.023973700490702576
14,2016,2,2014,1947,0.01583206081362663
14,2016,1,2015,1948,0.005736627724871696
2,2011,10,2001,1994,0.2923678113347041
2,2011,9,2002,1995,0.28147652969480647
2,2011,8,2003,1996,0.31258396617350576
2,2011,7,2004,1997,0.3894077972654804
2,2011,6,2005,1998,0.18960436393766988
2,2011,5,2006,1999,0.2107826642108313
2,2011,4,2007,2000,0.13871631452979308
2,2011,3,2008,2001,0.09807421489687457
2,2011,2,2009,2002,0.050619320359095825
2,2011,1,2010,2003,0.015475595703629396
6,2010,10,2000,1973,0.08635310441376458
6,2010,9,2001,1974,0.09698709098122185
6,2010,8,2002,1975,0.16778785490837797
6,2010,7,2003,1976,0.12370866287326698
6,2010,6,2004,1977,0.10429112444910424
6,2010,5,2005,1978,0.1193201155008319
6,2010,4,2006,1979,0.06404467033747113
6,2010,3,2007,1980,0.03811424727324731
6,2010,2,2008,1981,0.02395396514273512
6,2010,1,2009,1982,0.008584133007770622
5,2011,10,2001,1979,0.13769967567831637
5,2011,9,2002,1980,0.10943546563222846
