dataset,year,age,cohort,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1985,17,1968,0.23923661192046916,1.7812963,1.5420596412838765,6.445751044953214
train,1986,1,1985,8.023557714067836,7.344601,0.6789565597404437,0.08462038710707262
train,1986,2,1984,32.512468757549584,30.784163,1.7283062361872794,0.05315825903826216
train,1986,3,1983,0.6601180951272183,0.80839044,0.14827234342945284,0.22461487501058897
train,1986,4,1982,7.164191895892911,6.9219494,0.24224250929623103,0.033812956550629256
train,1986,5,1981,31.38272276502708,29.13605,2.2466734943971964,0.07158950200779962
train,1986,6,1980,0.7635203418616521,0.7864152,0.022894877445293726,0.029985942993267668
train,1986,7,1979,5.821117072366185,6.7883906,0.9672735640779067,0.1661663134503083
train,1986,8,1978,28.31335497868802,25.658804,2.6545510388686857,0.09375614584943116
train,1986,9,1977,1.2232490718597668,0.81744856,0.4058005154365796,0.3317398923665554
train,1986,10,1976,4.705498531884458,6.896996,2.191497489386294,0.46573120245097127
train,1986,11,1975,33.36699891837177,7.8895316,25.47746730597553,0.7635528555715254
train,1986,12,1974,0.8205033453744729,0.89801425,0.07751090204297706,0.09446750275894009
train,1986,13,1973,6.960777848606742,6.656368,0.30441006982866625,0.04373219149488483
train,1986,14,1972,0.336508768124233,1.428395,1.0918862647584575,3.244748334022928
train,1986,15,1971,1.5185820850191574,1.0729215,0.44566057050804897,0.2934715053629342
train,1986,16,1970,5.43904119864514,6.656393,1.217351852502321,0.2238173619286683
train,1986,17,1969,0.026171152533066493,0.08434281,0.058171654998290315,2.222739519116301
train,1987,1,1986,8.19925501568927,9.905849,1.70659444109784,0.20814018320348182
train,1987,2,1985,47.84986939607565,37.41321,10.436657573565881,0.21811256133588555
train,1987,3,1984,1.3762376415355695,1.2358546,0.1403830158336652,0.10200492385670219
train,1987,4,1983,7.508740256171813,9.353125,1.8443843623584604,0.24563166382566262
train,1987,5,1982,43.01586261143159,34.478764,8.537099031109321,0.19846397381882014
train,1987,6,1981,1.356865074262151,1.2083861,0.14847901068640645,0.10942798477368013
train,1987,7,1980,9.4667679719653,9.16054,0.30622834489010486,0.03234771843959111
train,1987,8,1979,35.82314296469903,10.091616,25.731527287819148,0.7182934036015456
