ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1984,1,2,1735377,14.0,0.8067411288728615,8.067411288728616e-06,6
1984,1,3,1657763,11.0,0.6635447889716443,6.635447889716443e-06,6
1984,1,4,1656682,27.0,1.6297635877012004,1.6297635877012005e-05,6
1984,1,5,1508337,52.0,3.447505431478509,3.447505431478509e-05,6
1984,1,6,1257935,54.0,4.2927496253781,4.2927496253781e-05,6
1984,1,7,1032870,63.0,6.099509134741061,6.0995091347410614e-05,6
1984,1,8,860814,57.0,6.621639517944644,6.621639517944644e-05,6
1984,1,9,705233,61.0,8.64962359957631,8.64962359957631e-05,6
1984,1,10,597695,56.0,9.36932716519295,9.369327165192949e-05,6
1984,1,11,515898,92.0,17.83298248878654,0.00017832982488786542,6
1984,1,12,417697,77.0,18.434415377654137,0.00018434415377654136,6
1984,1,13,320798,96.0,29.92537359958603,0.0002992537359958603,6
1984,1,14,245940,102.0,41.47353012929983,0.0004147353012929983,6
1984,1,15,174359,103.0,59.07352072448224,0.0005907352072448224,6
1984,1,16,110454,58.0,52.51054737718869,0.000525105473771887,6
1984,1,17,116438,48.0,41.22365550765215,0.00041223655507652144,6
1984,2,1,1923927,38.0,1.9751269148985382,1.975126914898538e-05,6
1984,2,2,1745998,19.0,1.088202850175086,1.0882028501750861e-05,6
1984,2,3,1674974,11.0,0.6567266118757664,6.567266118757664e-06,6
1984,2,4,1685764,19.0,1.1270854045999321,1.1270854045999322e-05,6
1984,2,5,1566022,28.0,1.7879697730938644,1.7879697730938645e-05,6
1984,2,6,1330175,43.0,3.2326573571146655,3.2326573571146655e-05,6
1984,2,7,1087725,49.0,4.50481509572732,4.5048150957273205e-05,6
1984,2,8,877757,35.0,3.9874361582989373,3.987436158298937e-05,6
1984,2,9,698207,25.0,3.580600022629392,3.580600022629392e-05,6
1984,2,10,568424,42.0,7.388850576330345,7.388850576330345e-05,6
1984,2,11,489471,46.0,9.397900999242038,9.397900999242039e-05,6
1984,2,12,396358,46.0,11.605669621907468,0.00011605669621907468,6
1984,2,13,304246,45.0,14.790662818903122,0.00014790662818903123,6
1984,2,14,233688,39.0,16.688918558077436,0.00016688918558077436,6
1984,2,15,166330,50.0,30.06072265977274,0.0003006072265977274,6
1984,2,16,109153,26.0,23.81977591087739,0.0002381977591087739,6
1984,2,17,141827,42.0,29.613543260451113,0.00029613543260451113,6
1985,1,1,1961984,53.0,2.701347207724426,2.701347207724426e-05,7
1985,1,2,1773467,19.0,1.0713478175799156,1.0713478175799155e-05,7
1985,1,3,1641067,10.0,0.6093596422327668,6.093596422327668e-06,7
1985,1,4,1641944,25.0,1.5225854231325795,1.5225854231325794e-05,7
