ano,t,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa
1992,14,3,3364602,9.0,0.2674907760264067,2.674907760264067e-06
1992,14,4,3011956,25.0,0.830025405417609,8.30025405417609e-06
1992,14,5,2636340,46.0,1.744843229628955,1.744843229628955e-05
1992,14,6,2574521,56.0,2.175161903903678,2.1751619039036776e-05
1992,14,7,2241595,77.0,3.435054057490314,3.435054057490314e-05
1992,14,8,1851297,88.0,4.753424220965086,4.753424220965086e-05
1992,14,9,1506780,79.0,5.242968449275939,5.242968449275939e-05
1992,14,10,1362989,71.0,5.2091396188817365,5.209139618881737e-05
1992,14,11,1185329,74.0,6.242992451884666,6.242992451884666e-05
1992,14,12,986753,99.0,10.032905904517138,0.00010032905904517139
1992,14,13,818430,102.0,12.462886257835121,0.00012462886257835122
1992,14,14,625999,106.0,16.932934397658784,0.00016932934397658782
1992,14,15,445015,132.0,29.661921508263767,0.00029661921508263765
1992,14,16,284360,96.0,33.76002250668167,0.0003376002250668167
1992,14,17,280982,106.0,37.724836466392865,0.00037724836466392867
1993,15,1,4214577,35.0,0.8304510749240078,8.304510749240079e-06
1993,15,2,2855340,14.0,0.4903093852220751,4.903093852220751e-06
1993,15,3,3057711,8.0,0.2616336207051615,2.616336207051615e-06
1993,15,4,3042479,22.0,0.7230945554595447,7.230945554595447e-06
1993,15,5,2628996,42.0,1.5975680449875163,1.5975680449875162e-05
1993,15,6,2854620,49.0,1.7165156833483968,1.7165156833483967e-05
1993,15,7,2574070,80.0,3.1079185880725855,3.1079185880725856e-05
1993,15,8,1946094,92.0,4.727418100050666,4.727418100050666e-05
1993,15,9,1572504,93.0,5.914134399658125,5.914134399658125e-05
1993,15,10,1421220,90.0,6.33258749525056,6.33258749525056e-05
1993,15,11,1225339,116.0,9.466767971965309,9.466767971965309e-05
1993,15,12,1004739,106.0,10.5500035332559,0.000105500035332559
1993,15,13,689988,120.0,17.391606810553228,0.00017391606810553226
1993,15,14,650845,138.0,21.203205064185788,0.0002120320506418579
1993,15,15,464378,104.0,22.39554845406113,0.00022395548454061132
1993,15,16,293916,103.0,35.04402618435199,0.00035044026184351994
1993,15,17,248585,119.0,47.870949574592196,0.0004787094957459219
1994,16,1,4259020,27.0,0.6339486548548727,6.339486548548727e-06
1994,16,2,2520743,12.0,0.47605011696948085,4.760501169694808e-06
1994,16,3,3788592,7.0,0.18476521092796477,1.8476521092796479e-06
1994,16,4,3088941,25.0,0.8093388640313947,8.093388640313947e-06
1994,16,5,3194160,50.0,1.5653567761164124,1.5653567761164123e-05
1994,16,6,2577545,64.0,2.4829828383209605,2.4829828383209605e-05
1994,16,7,2892351,76.0,2.627620230048151,2.6276202300481512e-05
1994,16,8,2441427,93.0,3.80924762444259,3.80924762444259e-05
1994,16,9,1654917,84.0,5.075783256803815,5.0757832568038155e-05
1994,16,10,1026639,73.0,7.110581226701888,7.110581226701888e-05
1994,16,11,1148341,96.0,8.359886131384318,8.359886131384319e-05
1994,16,12,1025423,99.0,9.654552316458672,9.654552316458672e-05
1994,16,13,856572,105.0,12.258163937182163,0.00012258163937182162
1994,16,14,673833,90.0,13.356425108298348,0.00013356425108298348
1994,16,15,396989,114.0,28.71616090118366,0.0002871616090118366
1994,16,16,280626,81.0,28.86403968270937,0.0002886403968270937
1994,16,17,304566,107.0,35.13195826192024,0.0003513195826192024
1995,17,1,3906632,27.0,0.6911324127790895,6.911324127790895e-06
1995,17,2,4002363,8.0,0.19988191975590422,1.998819197559042e-06
1995,17,3,3473826,8.0,0.23029363013576384,2.3029363013576384e-06
1995,17,4,3155712,20.0,0.6337713961223331,6.337713961223331e-06
1995,17,5,3188905,42.0,1.3170665165628954,1.3170665165628955e-05
1995,17,6,2588942,63.0,2.4334264730534714,2.4334264730534712e-05
1995,17,7,2350401,77.0,3.276036727349929,3.276036727349929e-05
1995,17,8,2522268,112.0,4.4404480412073575,4.440448041207358e-05
1995,17,9,1676622,80.0,4.771498882872824,4.771498882872824e-05
1995,17,10,1524972,84.0,5.508297857272133,5.5082978572721335e-05
1995,17,11,1191093,95.0,7.9758675435083575,7.975867543508357e-05
1995,17,12,861332,102.0,11.842123594618569,0.00011842123594618568
1995,17,13,788189,109.0,13.829170414710179,0.00013829170414710179
1995,17,14,694884,111.0,15.973889167112784,0.00015973889167112784
1995,17,15,458426,97.0,21.15935832609843,0.00021159358326098432
1995,17,16,324935,92.0,28.313354978688043,0.00028313354978688044
1995,17,17,331835,118.0,35.559841487486246,0.0003555984148748625
1996,18,1,3535888,22.0,0.6221916531292846,6.221916531292846e-06
1996,18,2,4053135,9.0,0.22205033881180863,2.2205033881180863e-06
1996,18,3,3122249,7.0,0.2241973654247307,2.241973654247307e-06
1996,18,4,3239524,32.0,0.9877994421402649,9.87799442140265e-06
1996,18,5,2919766,37.0,1.2672248392508165,1.2672248392508166e-05
1996,18,6,3139809,56.0,1.783547980147837,1.783547980147837e-05
1996,18,7,2993420,71.0,2.3718689659319443,2.3718689659319442e-05
1996,18,8,2365634,72.0,3.0435815514995137,3.0435815514995136e-05
1996,18,9,1761542,88.0,4.995623152896724,4.995623152896724e-05
1996,18,10,1573368,85.0,5.40242333643496,5.4024233364349596e-05
1996,18,11,1223800,104.0,8.498120607942475,8.498120607942474e-05
